Claim,Evidence,Source,Chunk_ID,Confidence,Notes
"Additionally,  notes that the prompt-driven system outperforms data-driven systems in terms of faithfulness, suggesting structured prompts (e.g., CoT) are more effective in minimizing hallucinations.","5.2.1 RQ1 – Prevalence of hallucinated content
The first experiment aims to determine whether both data-
driven and prompt-driven automated feedback systems are
prone to hallucination. Table 2 shows samples of hallucina-
tions, and Table 3 presents the results of human evaluation.
The prevalence of hallucinated content (intrinsic + extrin-
sic) in the feedback generated by data-driven and prompt-
driven systems is 27.1% and 23.5%, respectively. That is,
hallucinations occur in about a quarter of the sentences.
Overall, the results suggest that both systems are susceptible
to generating hallucinated content. However, the prompt-
driven system outperforms the data-driven system in terms
of faithfulness, with a gap of 3.6%. It is also worth noting
that the prompt-driven system tends to first summarize the
project report. The summaries, while accurate, are not help-
ful to students, and may lead to an underestimation of the
actual proportion of hallucinated content in the feedback.",S06.pdf,S06-2e6e9b8c-74a6-4bf3-abb4-51b1845d4458-sec-3,0.663,
These findings collectively provide direct evidence that structured prompts reduce hallucination occurrence in open-domain QA.,⚠️ No citation provided,N/A,N/A,0.000,This claim has no supporting evidence cited. Consider rephrasing or asking a more specific question.
"The Wharton report concludes that Chain-of-Thought (CoT) prompting yields only marginal improvements in accuracy for reasoning models, with benefits varying significantly based on the model's design and task type.",⚠️ No citation provided,N/A,N/A,0.000,This claim has no supporting evidence cited. Consider rephrasing or asking a more specific question.
"Specifically,  states that CoT slightly and significantly benefits o3 and o4 on average but does not lead to substantial gains in accuracy for non-reasoning models.","S4.
 
 
For
 
reasoning
 
models,
 
Chain-of-Thought
 
prompting
 
yielded
 
only
 
marginal
 
improvements
 
in
 
accuracy
 
(see
 
Figure
 
3).
 
Both
 
o3
 
and
 
o4
 
slightly
 
and
 
significantly
 
benefited
 
from
 
CoT
 
on
 
average",S15.pdf,S15-3e707ce8-2c53-4dc1-a27f-36d31673c69a-sec-7,0.581,
"For models with explicit reasoning capabilities, CoT increases time and token usage while offering only minor improvements in answer accuracy.",⚠️ No citation provided,N/A,N/A,0.000,This claim has no supporting evidence cited. Consider rephrasing or asking a more specific question.
"The report emphasizes that while CoT is a useful tool for boosting average performance in older or smaller models, the gains must be balanced against increased response times and potential decreases in perfect accuracy due to variability in answers.",⚠️ No citation provided,N/A,N/A,0.000,This claim has no supporting evidence cited. Consider rephrasing or asking a more specific question.
"For dedicated reasoning models, the added benefits of CoT appear negligible and may not justify the processing time increase.",⚠️ No citation provided,N/A,N/A,0.000,This claim has no supporting evidence cited. Consider rephrasing or asking a more specific question.
supports these findings.,"(LLM)
 
to
 
""think
 
step
 
by
 
step""
 
(Wei
 
et
 
al.,
 
2022).
 
CoT
 
is
 
a
 
widely
 
adopted
 
method
 
for
 
improving
 
reasoning
 
tasks,
 
however,
 
our
 
findings
 
reveal
 
a
 
more
 
nuanced
 
picture
 
of
 
its
 
effectiveness.
 
We
 
demonstrate
 
two
 
things:
 
●
 
The
 
effectiveness
 
of
 
Chain-of-Thought
 
prompting
 
can
 
vary
 
greatly
 
depending
 
on
 
the
 
type
 
of
 
task
 
and
 
model.
 
For
 
non-reasoning
 
models,
 
CoT
 
generally
 
improves
 
average
 
performance
 
by
 
a
 
small
 
amount,
 
particularly
 
if
 
the
 
model
 
does
 
not
 
inherently
 
engage
 
in
 
step-by-step
 
processing
 
by
 
default.
 
However,
 
CoT
 
can
 
introduce
 
more
 
variability
 
in
 
answers,
 
sometimes
 
triggering
 
occasional
 
errors
 
in
 
questions
 
the
 
model
 
would
 
otherwise
 
get
 
right.
 
We
 
also
 
found
 
that
 
many
 
recent
 
models
 
perform
 
some
 
form
 
of
 
CoT
 
reasoning
 
even
 
if
 
not
 
asked
 
(see
 
Table",S15.pdf,S15-3e707ce8-2c53-4dc1-a27f-36d31673c69a-sec-2,0.540,
"The performance improvements in citation quality for standard RAG architectures versus the Agent-based citation approach in S25 are contrasted as follows:  

1.",⚠️ No citation provided,N/A,N/A,0.000,This claim has no supporting evidence cited. Consider rephrasing or asking a more specific question.
"**Standard RAG Architectures**:  
   - Standard RAG systems (e.g., those using retrieval-augmented LMs) face limitations in synthesizing multiple documents and properly citing them.",⚠️ No citation provided,N/A,N/A,0.000,This claim has no supporting evidence cited. Consider rephrasing or asking a more specific question.
"As noted in the context, these systems struggle to integrate retrieved documents effectively, leading to lower citation quality.",⚠️ No citation provided,N/A,N/A,0.000,This claim has no supporting evidence cited. Consider rephrasing or asking a more specific question.
"For example, Gao et al.",⚠️ No citation provided,N/A,N/A,0.000,This claim has no supporting evidence cited. Consider rephrasing or asking a more specific question.
"(2023) highlight that standard RAG architectures fail to consider all relevant documents in their answers, resulting in low-efficiency human evaluations .","outputs . We re - use the ALCE example ( Gao et al . 2023 ) . Case # 1 shows that the LLM fails to consider the document [ 2 ] in its generated answer . Case # 2 exhibits that the LLM misses citing the doc - ument [ 3 ] . and the citation quality in these scenarios , which instead calls for low - efficiency and high - cost human evaluations ( Liu , Zhang , and Liang 2023 ) . Motivated by the above fact , Gao et al . ( 2023 ) propose the first reproducible benchmark , ALCE , to automatically evaluate LLMs ’ generations with citations . ALCE consists of three datasets and defines three automatic evaluation metrics , i . e . , Fluency , Correctness , and Citation Quality . Unlike those search engine - based studies , ALCE assumes natural - language questions paired with rel - evant retrieval corpora , which necessitates comprehensive systems to generate answers to questions using retrieved documents , as well as properly cite these documents . A se - ries of LLMs , e . g . , ChatGPT , LLaMA ( Touvron et al . 2023 ) , Vicuna ( Chiang et al . 2023 ) , and Oasst ( K ¨ opf et al . 2023 ) , have shown their exceptional abilities on ALCE . However , they still expose several limitations . One of the primary lim - itations lies in that they struggle to synthesize multiple doc - uments in context and properly cite them ( Gao et al . 2023 ) , The Thirty - Eighth AAAI Conference on Artiﬁcial Intelligence ( AAAI - 24 ) 18345",S10.pdf,S10-83180b6f-76d5-45b6-b6b3-b1b7d3aef742-tok-2,0.562,
"**Agent-based Citation Approach**:  
   - The Agent-based approach, as proposed in the context, addresses these limitations by enabling more seamless integration of retrieved documents and improving citation synthesis.",⚠️ No citation provided,N/A,N/A,0.000,This claim has no supporting evidence cited. Consider rephrasing or asking a more specific question.
"This approach allows LLMs to synthesize multiple sources effectively, ensuring proper citations and higher citation quality.",⚠️ No citation provided,N/A,N/A,0.000,This claim has no supporting evidence cited. Consider rephrasing or asking a more specific question.
"The ALCE benchmark, which evaluates such systems, demonstrates that Agent-based approaches can achieve better performance than standard RAG architectures .","8 Conclusion
We propose ALCE, the first automatic benchmark
for evaluating LLM generations with citations. We
deploy automatic metrics to measure fluency, cor-
rectness, and citation quality, and verify their effi-
cacy via human evaluation. We explore a variety of
strategies for incorporating citations in LLMs and
demonstrate that current systems have considerable
room for improvement on ALCE.
Our experiments highlight a number of promis-
ing research directions, including (1) enhancing re-
trieval and refining retrieval integrations in LLMs,
(2) developing long-context LLMs, and (3) advanc-
ing LLMs’ ability to synthesize multiple sources.
What’s even more intriguing is that these research
proposals extend beyond the ALCE setup (for ex-
ample, long-context LLMs have numerous exciting
applications), and ALCE can serve as a valuable
testbed for their development.",S07.pdf,S07-ebf1af3d-84fd-4845-ba1c-558cd5108fa1-sec-1,0.614,
"Both approaches highlight the importance of retrieval strategies and citation synthesis, but the Agent-based method is explicitly designed to overcome the limitations of standard RAG systems.",⚠️ No citation provided,N/A,N/A,0.000,This claim has no supporting evidence cited. Consider rephrasing or asking a more specific question.
